JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
1,MILK,3028,,,,,3028,96.80%,AAA,-100,0,S-RANDOM,S-RANDOM,,AC
2,LESTY,3027,,,,,3027,96.77%,AAA,-101,1,,R-RANDOM,FLIP,AC
3,tachinin,2928,,,,,2928,93.61%,AAA,+147,99,MIRROR,S-RANDOM,,AC
4,すいか,2907,,,,,2907,92.93%,AAA,+126,21,S-RANDOM,S-RANDOM,FLIP,AC
5,MONA,2906,,,,,2906,92.90%,AAA,+125,1,S-RANDOM,S-RANDOM,FLIP,AC
6,榊樹,2904,,,,,2904,92.84%,AAA,+123,2,S-RANDOM,S-RANDOM,,INF
7,B,2894,,,,,2894,92.52%,AAA,+113,10,MIRROR,,,INF
8,るしし,2881,,,,,2881,92.10%,AAA,+100,13,MIRROR,,,AC
9,BAY.,2868,,,,,2868,91.69%,AAA,+87,13,S-RANDOM,S-RANDOM,FLIP,AC
10,磯野家,2867,,,,,2867,91.66%,AAA,+86,1,MIRROR,,,INF
11,MIST,2846,,,,,2846,90.98%,AAA,+65,21,,,,AC
12,コーギー,2837,,,,,2837,90.70%,AAA,+56,9,S-RANDOM,S-RANDOM,,INF
13,真,2823,,,,,2823,90.25%,AAA,+42,14,RANDOM,RANDOM,,INF
14,TOBA,2822,,,,,2822,90.22%,AAA,+41,1,MIRROR,,FLIP,AC
15,塩ぱん,2798,,,,,2798,89.45%,AAA,+17,24,MIRROR,,FLIP,AC
16,うしお,2794,,,,,2794,89.32%,AAA,+13,4,R-RANDOM,R-RANDOM,,INF
17,46NEKO,2782,,,,,2782,88.94%,AAA,+1,12,,,,INF
18,明大前ヴェノム,2771,,,,,2771,88.59%,AA,+338,11,MIRROR,,FLIP,AC
19,ふずにゃん,2770,,,,,2770,88.55%,AA,+337,1,,,,AC
20,F-003,2760,,,,,2760,88.24%,AA,+327,10,S-RANDOM,S-RANDOM,,AC
21,しろ,2732,,,,,2732,87.34%,AA,+299,28,R-RANDOM,R-RANDOM,,INF
22,VOLGA,2731,,,,,2731,87.31%,AA,+298,1,,,,AC
22,翔,2731,,,,,2731,87.31%,AA,+298,0,S-RANDOM,S-RANDOM,,AC
24,かねく,2728,,,,,2728,87.21%,AA,+295,3,RANDOM,RANDOM,,INF
25,みおー,2726,,,,,2726,87.15%,AA,+293,2,S-RANDOM,S-RANDOM,FLIP,AC
26,鍵,2723,,,,,2723,87.05%,AA,+290,3,,,,AC
27,ゆんゆんぼ,2697,,,,,2697,86.22%,AA,+264,26,S-RANDOM,S-RANDOM,FLIP,AC
28,つてん,2694,,,,,2694,86.13%,AA,+261,3,MIRROR,,FLIP,AC
29,サイバイマソ,2691,,,,,2691,86.03%,AA,+258,3,S-RANDOM,S-RANDOM,FLIP,AC
30,でんじ,2690,,,,,2690,86.00%,AA,+257,1,MIRROR,MIRROR,FLIP,INF
30,夕立,2690,,,,,2690,86.00%,AA,+257,0,,,,AC
32,ふぃれ,2679,,,,,2679,85.65%,AA,+246,11,RANDOM,RANDOM,,AC
33,むつきゅ,2665,,,,,2665,85.20%,AA,+232,14,,,,INF
34,ジョン,2645,,,,,2645,84.56%,AA,+212,20,,,,AC
35,メロリーヌ,2642,,,,,2642,84.46%,AA,+209,3,S-RANDOM,S-RANDOM,,AC
36,にゃむ,2641,,,,,2641,84.43%,AA,+208,1,S-RANDOM,S-RANDOM,FLIP,AC
37,Cube,2636,,,,,2636,84.27%,AA,+203,5,,,,AC
38,JUDGE.,2627,,,,,2627,83.98%,AA,+194,9,S-RANDOM,S-RANDOM,FLIP,AC
39,もつ,2619,,,,,2619,83.73%,AA,+186,8,,,,INF
40,茜ちゃんは可愛いですか？,2613,,,,,2613,83.54%,AA,+180,6,MIRROR,MIRROR,,AC
41,いなかずくん,2606,,,,,2606,83.31%,AA,+173,7,,,,AC
42,ヴァーユ,2590,,,,,2590,82.80%,AA,+157,16,MIRROR,,FLIP,AC
43,さくら,2587,,,,,2587,82.70%,AA,+154,3,MIRROR,,,AC
44,エナタル,2581,,,,,2581,82.51%,AA,+148,6,MIRROR,,,AC
45,みとば,2572,,,,,2572,82.23%,AA,+139,9,S-RANDOM,S-RANDOM,FLIP,INF
46,きつね,2571,,,,,2571,82.19%,AA,+138,1,MIRROR,,,AC
47,かばね,2566,,,,,2566,82.03%,AA,+133,5,,MIRROR,,INF
48,ゆずポン酢,2551,,,,,2551,81.55%,AA,+118,15,,,,AC
49,奪還,2549,,,,,2549,81.49%,AA,+116,2,MIRROR,,,INF
50,しぐはら,2547,,,,,2547,81.43%,AA,+114,2,MIRROR,,,AC
51,荒,2545,,,,,2545,81.36%,AA,+112,2,,,,INF
52,ヒロヤマ,2542,,,,,2542,81.27%,AA,+109,3,MIRROR,RANDOM,,INF
53,とまて～,2535,,,,,2535,81.04%,AA,+102,7,MIRROR,,,AC
54,金糸雀,2532,,,,,2532,80.95%,AA,+99,3,R-RANDOM,R-RANDOM,,AC
55,鼻毛スペシャル,2519,,,,,2519,80.53%,AA,+86,13,,,,INF
56,どどすこい,2516,,,,,2516,80.43%,AA,+83,3,,,,INF
57,COLONE,2514,,,,,2514,80.37%,AA,+81,2,,,FLIP,AC
58,かんじ,2481,,,,,2481,79.32%,AA,+48,33,,,,AC
58,ねこ,2481,,,,,2481,79.32%,AA,+48,0,MIRROR,,FLIP,AC
60,CLONE,2475,,,,,2475,79.12%,AA,+42,6,MIRROR,,FLIP,AC
61,ryo,2474,,,,,2474,79.09%,AA,+41,1,,,,INF
62,べた,2464,,,,,2464,78.77%,AA,+31,10,MIRROR,,FLIP,AC
63,husqy,2461,,,,,2461,78.68%,AA,+28,3,MIRROR,MIRROR,,INF
64,96NEKO,2455,,,,,2455,78.48%,AA,+22,6,,,,AC
65,YouS,2451,,,,,2451,78.36%,AA,+18,4,S-RANDOM,S-RANDOM,FLIP,AC
66,つがさん,2431,,,,,2431,77.72%,A,+345,20,,,,INF
67,いにょ太郎,2423,,,,,2423,77.46%,A,+337,8,MIRROR,,,INF
68,GO,2415,,,,,2415,77.21%,A,+329,8,,,,AC
69,くろ,2399,,,,,2399,76.69%,A,+313,16,,,,AC
70,γυηυ,2379,,,,,2379,76.05%,A,+293,20,,,,AC
71,WOOJIN,2360,,,,,2360,75.45%,A,+274,19,,,,AC
