JYUNI,"PLAYER NAME",☆9↓,☆10,☆11,☆12,,TOTAL,RATE,RANK,RANK+,NEXT
1,MILK,1711,2021,2253,3028,,9013,98.07%,AAA,-177,0
2,LESTY,1713,2007,2258,3027,,9005,97.99%,AAA,-185,8
3,B,1707,1986,2247,2894,,8834,96.13%,AAA,-356,171
4,榊樹,1705,1979,2240,2904,,8828,96.06%,AAA,-362,6
5,MONA,1697,1970,2243,2906,,8816,95.93%,AAA,-374,12
6,すいか,1688,1979,2222,2907,,8796,95.71%,AAA,-394,20
7,るしし,1701,1942,2241,2881,,8765,95.38%,AAA,-425,31
8,tachinin,1689,1926,2217,2928,,8760,95.32%,AAA,-430,5
9,磯野家,1677,1935,2239,2867,,8718,94.86%,AAA,-472,42
10,真,1698,1933,2217,2823,,8671,94.35%,AAA,+502,47
11,コーギー,1674,1901,2204,2837,,8616,93.75%,AAA,+447,55
12,MIST,1668,1898,2194,2846,,8606,93.65%,AAA,+437,10
12,46NEKO,1681,1931,2212,2782,,8606,93.65%,AAA,+437,0
14,TOBA,1680,1908,2192,2822,,8602,93.60%,AAA,+433,4
15,うしお,1682,1883,2209,2794,,8568,93.23%,AAA,+399,34
16,BAY.,1650,1871,2177,2868,,8566,93.21%,AAA,+397,2
17,ふずにゃん,1673,1899,2181,2770,,8523,92.74%,AAA,+354,43
18,明大前ヴェノム,1662,1885,2189,2771,,8507,92.57%,AAA,+338,16
19,つてん,1692,1923,2191,2694,,8500,92.49%,AAA,+331,7
20,F-003,1684,1871,2183,2760,,8498,92.47%,AAA,+329,2
21,塩ぱん,1646,1863,2151,2798,,8458,92.03%,AAA,+289,40
22,しろ,1671,1867,2170,2732,,8440,91.84%,AAA,+271,18
23,翔,1649,1869,2186,2731,,8435,91.78%,AAA,+266,5
24,みおー,1645,1900,2163,2726,,8434,91.77%,AAA,+265,1
25,かねく,1632,1898,2172,2728,,8430,91.73%,AAA,+261,4
26,鍵,1662,1866,2163,2723,,8414,91.56%,AAA,+245,16
27,むつきゅ,1662,1879,2191,2665,,8397,91.37%,AAA,+228,17
28,でんじ,1631,1881,2185,2690,,8387,91.26%,AAA,+218,10
29,ゆんゆんぼ,1650,1897,2141,2697,,8385,91.24%,AAA,+216,2
30,ふぃれ,1651,1842,2193,2679,,8365,91.02%,AAA,+196,20
31,VOLGA,1636,1804,2181,2731,,8352,90.88%,AAA,+183,13
32,サイバイマソ,1650,1863,2108,2691,,8312,90.45%,AAA,+143,40
33,夕立,1658,1839,2115,2690,,8302,90.34%,AAA,+133,10
34,にゃむ,1639,1840,2152,2641,,8272,90.01%,AAA,+103,30
35,ジョン,1631,1843,2143,2645,,8262,89.90%,AAA,+93,10
36,JUDGE.,1640,1780,2170,2627,,8217,89.41%,AAA,+48,45
37,しぐはら,1637,1868,2143,2547,,8195,89.17%,AAA,+26,22
38,もつ,1613,1814,2139,2619,,8185,89.06%,AAA,+16,10
39,メロリーヌ,1601,1827,2107,2642,,8177,88.98%,AAA,+8,8
40,茜ちゃんは可愛いですか？,1624,1815,2111,2613,,8163,88.82%,AA,+1015,14
41,金糸雀,1628,1807,2161,2532,,8128,88.44%,AA,+980,35
42,Cube,1607,1773,2076,2636,,8092,88.05%,AA,+944,36
43,荒,1578,1848,2118,2545,,8089,88.02%,AA,+941,3
44,さくら,1600,1767,2124,2587,,8078,87.90%,AA,+930,11
45,ヴァーユ,1595,1774,2060,2590,,8019,87.26%,AA,+871,59
46,YouS,1632,1832,2099,2451,,8014,87.20%,AA,+866,5
47,ゆずポン酢,1640,1734,2086,2551,,8011,87.17%,AA,+863,3
48,かばね,1594,1770,2079,2566,,8009,87.15%,AA,+861,2
49,みとば,1578,1768,2067,2572,,7985,86.89%,AA,+837,24
50,きつね,1608,1735,2023,2571,,7937,86.37%,AA,+789,48
51,ヒロヤマ,1591,1776,2016,2542,,7925,86.24%,AA,+777,12
52,COLONE,1604,1744,2057,2514,,7919,86.17%,AA,+771,6
53,エナタル,1572,1713,2022,2581,,7888,85.83%,AA,+740,31
54,どどすこい,1561,1743,2063,2516,,7883,85.78%,AA,+735,5
55,かんじ,1570,1807,2023,2481,,7881,85.76%,AA,+733,2
56,とまて～,1586,1713,2045,2535,,7879,85.73%,AA,+731,2
56,ねこ,1615,1747,2036,2481,,7879,85.73%,AA,+731,0
58,いなかずくん,1578,1661,1992,2606,,7837,85.28%,AA,+689,42
59,奪還,1597,1692,1997,2549,,7835,85.26%,AA,+687,2
60,96NEKO,1559,1775,2005,2455,,7794,84.81%,AA,+646,40
61,いにょ太郎,1630,1750,1982,2423,,7785,84.71%,AA,+637,9
62,CLONE,1604,1692,2002,2475,,7773,84.58%,AA,+625,12
63,GO,1603,1711,2026,2415,,7755,84.39%,AA,+607,18
64,鼻毛スペシャル,1536,1649,2001,2519,,7705,83.84%,AA,+557,50
65,つがさん,1599,1708,1961,2431,,7699,83.78%,AA,+551,6
66,べた,1587,1700,1887,2464,,7638,83.11%,AA,+490,61
67,ryo,1542,1671,1943,2474,,7630,83.03%,AA,+482,8
68,γυηυ,1586,1720,1916,2379,,7601,82.71%,AA,+453,29
69,husqy,1557,1625,1917,2461,,7560,82.26%,AA,+412,41
70,えむ,1572,1726,1867,2326,,7491,81.51%,AA,+343,69
71,くろ,1542,1613,1865,2399,,7419,80.73%,AA,+271,72
72,CHIHUA,1529,1656,1896,2332,,7413,80.66%,AA,+265,6
73,ノリダー,1544,1683,1909,2218,,7354,80.02%,AA,+206,59
74,彩華,1484,1680,1915,2237,,7316,79.61%,AA,+168,38
75,むらさき,1481,1556,1927,2348,,7312,79.56%,AA,+164,4
76,少年☆,1554,1703,1841,2209,,7307,79.51%,AA,+159,5
77,YAMAN.,1527,1674,1837,2266,,7304,79.48%,AA,+156,3
78,WOOJIN,1456,1583,1876,2360,,7275,79.16%,AA,+127,29
79,TOTTIE,1479,1626,1840,2314,,7259,78.99%,AA,+111,16
80,SHA9N5,1458,1613,1840,2315,,7226,78.63%,AA,+78,33
81,冷たい夜,1377,1429,1627,1831,,6264,68.16%,A,+137,962
82,ちょりぞー,1333,1410,1539,1935,,6217,67.65%,A,+90,47
83,しろてぃー,1644,1913,2198,,,5755,62.62%,B,+649,462
84,MOYA,1557,1607,,,,3164,34.43%,D,+100,2591
