tournamentNumber,difficulty,musicName
0,0,獅子霞麗ノ舞(A)
0,1,Catch Me(A)
0,2,La dolce primavera(A)
0,3,Raspberry Railgun(A)
1,0,vault of heaven(A)
1,1,Round and Round(A)
1,2,Moving on(A)
1,3,Rave*it!! Rave*it!!(A)
2,0,Bad Routine(A)
2,1,outer wall(A)
2,2,thunder(A)
2,3,199024club -Re:BounceKiller-(A)
3,0,mnemoniq(A)
3,1,お願いアインシュタイン(A)
3,2,バッドエンド・シンドローム(A)
3,3,Drastic Dramatic(A)
4,0,Queen's Tragedy(A)
4,1,Chewingood!!!(A)
4,2,Quick Silver(A)
4,3,Spica(A)
5,0,エコ爺(A)
5,1,Fantasia(A)
5,2,Distress(H)
5,3,Night! Night! Night!(A)
6,0,Mel(A)
6,1,AVE DE RAPINA(H)
6,2,Light Shine(A)
6,3,Sense 2007(H)
7,0,Frozen Ray(Original mix)(A)
7,1,Far east nightbird(A)
7,2,New Decade IIDX Edition(A)
7,3,LIGHTNING STRIKES(A)
8,0,THE EARTH LIGHT(H)
8,1,Really Love(H)
8,2,FLOWERS for ALBION(H)
8,3,Make Me Your Own(A)
9,0,Burnin' The Floor(A)
9,1,Power of Love(A)
9,2,NΦ CRIME(L)
9,3,紫陽花 -AZISAI- (A)
10,0,STAR FIELD(H)
10,1,HAPPY☆ANGEL(A)
10,2,Just a Little Smile(A)
10,3,Apocalypse(A)
11,0,being torn the sky(A)
11,1,Release The Music(A)
11,2,rottel-the-Mercury(A)
11,3,Red. by Full Metal Jacket(A)
